,link,text,date,No_of_Likes,No_of_tweets
96,https://twitter.com/BBCNews/status/1819750523722932493#m,Pub owned by Jeremy Clarkson seeks licence changes https://bbc.in/3ythFuf,"Aug 3, 2024 · 3:01 PM UTC",72,29
97,https://twitter.com/BBCNews/status/1819749874935460334#m,Two men charged over alleged Russia-linked arson plot https://bbc.in/3WOsU9R,"Aug 3, 2024 · 2:59 PM UTC",41,0
98,https://twitter.com/BBCNews/status/1819749378820595868#m,"Man's arms 'exploded' after 11,000-volt shock https://bbc.in/4dtAkF3","Aug 3, 2024 · 2:57 PM UTC",46,21
99,https://twitter.com/BBCNews/status/1819749341390671921#m,Whitmore was 'gaslight' after raising Strictly issues https://bbc.in/4c7HptP,"Aug 3, 2024 · 2:57 PM UTC",30,19
100,https://twitter.com/BBCNews/status/1819749260679680065#m,"Tributes to dad, 50, after car and lorry crash https://bbc.in/46zjkuR","Aug 3, 2024 · 2:56 PM UTC",22,7
101,https://twitter.com/BBCNews/status/1819745542328492215#m,Wiffen fastest qualifier for Sunday’s 1500m freestyle final https://bbc.in/3yfkTl7,"Aug 3, 2024 · 2:42 PM UTC",95,13
102,https://twitter.com/BBCNews/status/1819732318472319009#m,"Pedestrian, 18, dies after HGV collision on M74 https://bbc.in/3YqU48b","Aug 3, 2024 · 1:49 PM UTC",36,12
103,https://twitter.com/BBCNews/status/1819720441604288779#m,First wild chough chick for 200 years 'missing' https://bbc.in/3SAVoBL,"Aug 3, 2024 · 1:02 PM UTC",73,21
104,https://twitter.com/BBCNews/status/1819708419093287191#m,Children in Need video of Southport suspect removed https://bbc.in/4c9GhWH,"Aug 3, 2024 · 12:14 PM UTC",41,0
105,https://twitter.com/BBCNews/status/1819694165061439760#m,Glittery pigeon poo splat logo divides opinion https://bbc.in/3WPqjws,"Aug 3, 2024 · 11:17 AM UTC",49,33
106,https://twitter.com/BBCNews/status/1819688846050640134#m,Man assaulted by masked men in Coleraine https://bbc.in/3yAv8Ap,"Aug 3, 2024 · 10:56 AM UTC",30,28
107,https://twitter.com/BBCNews/status/1819684894043226451#m,Teen allegedly paid by Huw Edwards 'felt groomed' https://bbc.in/4d87pXw,"Aug 3, 2024 · 10:41 AM UTC",46,0
108,https://twitter.com/BBCNews/status/1819665444086620227#m,A new Scottish Premiership season in 12 thoughts https://bbc.in/3LStPQC,"Aug 3, 2024 · 9:23 AM UTC",28,33
109,https://twitter.com/BBCNews/status/1819665218667966556#m,Idris Elba's Zanzibar studio plan sparks dreams of 'Zollywood' https://bbc.in/4caivtJ,"Aug 3, 2024 · 9:22 AM UTC",71,38
110,https://twitter.com/BBCSport/status/1819663740284928489#m,🥇GOLD FOR TEAM GB! 🥇  The Men's Eight bring it home! What a performance!    #BBCOlympics #Olympics #Paris2024,"Aug 3, 2024 · 9:16 AM UTC",3715,53
111,https://twitter.com/BBCNews/status/1819660144315138409#m,How Scotland helped build a million dollar New York staircase https://bbc.in/4fqWJEN,"Aug 3, 2024 · 9:02 AM UTC",57,18
112,https://twitter.com/BBCNews/status/1819654870225269095#m,Southport: Aunt tells of 'sweet and gentle' girl killed in attack https://bbc.in/4ftYNfm,"Aug 3, 2024 · 8:41 AM UTC",95,1
113,https://twitter.com/BBCNews/status/1819653575712055540#m,Solar panel buying scheme deadline extended https://bbc.in/46ztFH3,"Aug 3, 2024 · 8:36 AM UTC",42,12
114,https://twitter.com/BBCNews/status/1819653524621332977#m,Life with the 'ugliest' dog who now stars in Deadpool & Wolverine https://bbc.in/3AaUxkR,"Aug 3, 2024 · 8:36 AM UTC",143,14
115,https://twitter.com/BBCNews/status/1819652995002356008#m,Goose 'attacked with rock by teen' dies https://bbc.in/3A6BibT,"Aug 3, 2024 · 8:34 AM UTC",96,100
116,https://twitter.com/BBCNews/status/1819652658048729488#m,Man still in jail 20 years after laptop robbery https://bbc.in/46vfEKC,"Aug 3, 2024 · 8:32 AM UTC",69,76
117,https://twitter.com/BBCNews/status/1819650723916738890#m,Dig sheds light on Roman history of town https://bbc.in/4dqHyd0,"Aug 3, 2024 · 8:25 AM UTC",57,10
118,https://twitter.com/BBCNews/status/1819639300859871628#m,Toddler rescued after falling down 10-ft pipe https://bbc.in/3WwXXWt,"Aug 3, 2024 · 7:39 AM UTC",87,22
119,https://twitter.com/BBCNews/status/1819637072199639342#m,Football fans warned over Premier League ticket scams https://bbc.in/46EicX2,"Aug 3, 2024 · 7:30 AM UTC",39,19
120,https://twitter.com/BBCNews/status/1819635296519995596#m,Butcher used golf club to save children trapped in burning car https://bbc.in/3LRsrh2,"Aug 3, 2024 · 7:23 AM UTC",149,20
121,https://twitter.com/BBCNews/status/1819632857276358986#m,Convicted rapist Van de Velde booed loudly during defeat https://bbc.in/3SyizMS,"Aug 3, 2024 · 7:14 AM UTC",1243,138
122,https://twitter.com/BBCNews/status/1819628625559261438#m,Chalk giant's origins to be explored at conference https://bbc.in/4frKrvZ,"Aug 3, 2024 · 6:57 AM UTC",77,64
123,https://twitter.com/BBCNews/status/1819625876285272385#m,Health body told restructure 'not fit for purpose' https://bbc.in/3ypxZvY,"Aug 3, 2024 · 6:46 AM UTC",31,16
124,https://twitter.com/BBCNews/status/1819622420564635707#m,Berkshire's Big Picture: Saturday's image of the county https://bbc.in/4camqa2,"Aug 3, 2024 · 6:32 AM UTC",44,12
125,https://twitter.com/BBCNews/status/1819621341735092267#m,"Dementia diagnosis 'not the end', says author https://bbc.in/4dseuSt","Aug 3, 2024 · 6:28 AM UTC",44,12
126,https://twitter.com/BBCNews/status/1819620710945321284#m,Hampshire & Isle of Wight: Saturday's Big Picture https://bbc.in/3WMc4IT,"Aug 3, 2024 · 6:25 AM UTC",39,7
127,https://twitter.com/BBCNews/status/1819620189492707750#m,Wimpy fan visits every UK site for cancer charity https://bbc.in/3LQKio9,"Aug 3, 2024 · 6:23 AM UTC",95,36
128,https://twitter.com/BBCNews/status/1819619642765091296#m,Experts to support firefighters' health and wellbeing https://bbc.in/3SyNc4O,"Aug 3, 2024 · 6:21 AM UTC",43,9
129,https://twitter.com/BBCNews/status/1819619583990374524#m,Photos chronicle industrial coast clean-up https://bbc.in/3LOm2D4,"Aug 3, 2024 · 6:21 AM UTC",14,3
130,https://twitter.com/BBCNews/status/1819619003762872614#m,Drilling rig needs impact assessment - council https://bbc.in/4dstxvl,"Aug 3, 2024 · 6:19 AM UTC",14,5
131,https://twitter.com/BBCNews/status/1819618498680701319#m,Thousands will benefit from unit expansion - hospital https://bbc.in/46BpF95,"Aug 3, 2024 · 6:17 AM UTC",32,4
132,https://twitter.com/BBCNews/status/1819617876564656482#m,Butterfly count at 14-year low - conservationist https://bbc.in/3SufTj9,"Aug 3, 2024 · 6:14 AM UTC",105,57
133,https://twitter.com/BBCNews/status/1819603097124995287#m,Anglian Water pledges £1.5bn in resilience plans https://bbc.in/4dtnSVP,"Aug 3, 2024 · 5:15 AM UTC",32,19
134,https://twitter.com/BBCNews/status/1819524347846938659#m,A bear mauled a Romanian teen to death. Will a cull solve the problem? https://bbc.in/3SDPMqb,"Aug 3, 2024 · 12:03 AM UTC",82,141
135,https://twitter.com/BBCNews/status/1819511803266605564#m,'My tattoo gave me my freedom back' https://bbc.in/46yMiLn,"Aug 2, 2024 · 11:13 PM UTC",53,28
